timestamp;hostname;cpu_percent;mem_total_gb;mem_dispo_gb;mem_percent;disk_root_percent
20/11/2025 12:43;PW-FRPC163;51.1%;15.69Gb;3.09Gb;80.3%;85.4%
timestamp;hostname;cpu_percent;mem_total_gb;mem_dispo_gb;mem_percent;disk_root_percent
20-11-2025 12:44:13;PW-FRPC163;43.0%;15.69Gb;3.09Gb;80.3%;85.4%
timestamp;hostname;cpu_percent;mem_total_gb;mem_dispo_gb;mem_percent;disk_root_percent
20-11-2025 12:44:55;PW-FRPC163;33.8%;15.69Gb;3.04Gb;80.6%;85.4%
timestamp;hostname;cpu_percent;mem_total_gb;mem_dispo_gb;mem_percent;disk_root_percent
20-11-2025 12:45:26;PW-FRPC163;38.8%;15.69Gb;3.07Gb;80.4%;85.4%
